Title,Genre,Director,Actors
mullum malarum,drama,j. mahendran,"sarath babu, jayalakshmi, shubha, venniradai moorthy"
aarilirindhu aruvathu varai,"biography, drama",s.p. muthuraman,"jayalakshmi, suruli rajan, rajinikanth, cho ramaswamy"
annai oru aalayam,"adventure, drama",r. thyagaraajan,"rajinikanth, sripriya, anjali devi, nagesh"
murattu kaalai,"action, drama",s.p. muthuraman,"rajinikanth, rati agnihotri, sumalatha, jaishankar"
thillu mullu,comedy,k. balachander,"rajinikanth, madhavi, thengai srinivasan, showkar janaki"
netri kann,drama,s.p. muthuraman,"rajinikanth, monica, sarath babu, goundamani"
moondru mugham,"action, drama",a. jagannathan,"rajinikanth, radhika sarathkumar, silk smitha, delhi ganesh"
paayum puli,action,s.p. muthuraman,"rajinikanth, radha, aachi manorama, silk smitha"
kai kodukkam kai,"action, drama",j. mahendran,"chinnijayanth, y.g. mahendran, rajinikanth, revathi"
nallavanukku nallavan,"drama, romance",s.p. muthuraman,"rajinikanth, radhika sarathkumar, karthik, tulasi"
sree raaghavendar,"biography, drama",s.p. muthuraman,"rajinikanth, lakshmi, delhi ganesh, sathyaraj"
mr. bharath,drama,s.p. muthuraman,"ambika, goundamani, raghuvaran, rajinikanth"
manithan,"crime, drama",s.p. muthuraman,"delhi ganesh, jai ganesh, raghuvaran, rajinikanth"
mappilai,"action, comedy",rajasekar,"amala akkineni, s.s. chandran, chiranjeevi, dileep"
adisaya piravi,"action, comedy, fantasy",s.p. muthuraman,"rajinikanth, chinnijayanth, jai ganesh, bharat gopy"
thalapathi,"action, crime, drama",mani ratnam,"rajinikanth, mammootty, shobana, arvind swamy"
mannan,"action, comedy, drama",p. vasu,"goundamani, ennatha kannaiya, kushboo, aachi manorama"
annamalai,"action, drama",suresh krishna,"rajinikanth, sarath babu, kushboo, radha ravi"
ejamaan,"drama, romance",r.v. udhaya kumar,"rajinikanth, meena, napolean, aishwarya"
veera,"comedy, romance",suresh krishna,"rajinikanth, meena, roja, charlie"
baasha,"action, crime, drama",suresh krishna,"rajinikanth, nagma, raghuvaran, vijayakumar"
muthu,"action, comedy, drama",k.s. ravikumar,"rajinikanth, meena, sarath babu, senthil"
arunachalam,"action, comedy, drama",sundar c.,"rajinikanth, soundarya, rambha, jaishankar"
padayappa,"action, comedy, drama",k.s. ravikumar,"shivaji ganesan, rajinikanth, ramya krishnan, soundarya"
chandramukhi,"action, comedy, fantasy",p. vasu,"rajinikanth, jyotika, prabhu, nayanthara"
sivaji,"action, drama, thriller",s. shankar,"rajinikanth, shriya saran, suman, vivek"
kuselan,"comedy, drama, family",p. vasu,"rajinikanth, pasupathy, meena, nayanthara"
enthiran,"action, sci-fi",s. shankar,"rajinikanth, aishwarya rai bachchan, danny denzongpa, santhanam"
nayakan,"crime, drama",mani ratnam,"kamal haasan, saranya ponvannan, delhi ganesh, janakaraj"
mahanadi,"crime, drama",santhana bharathi,"kamal haasan, sukanya, poornam vishwanathan, mahanadhi shobana"
anbe sivam,"adventure, comedy, drama",sundar c.,"kamal haasan, madhavan, kiran rathod, nassar"
moondram pirai,"drama, romance",balu mahendra,"kamal haasan, sridevi, poornam vishwanathan, silk smitha"
pushpaka vimana,"comedy, romance",singeetam srinivasa rao,"kamal haasan, amala akkineni, tinnu anand, narayana p.l."
apoorva sagodharargal,"action, comedy, drama",singeetam srinivasa rao,"kamal haasan, nagesh, srividya, gautami"
thevar magan,drama,bharathan,"kamal haasan, shivaji ganesan, nassar, revathi"
indian,"action, drama, thriller",s. shankar,"kamal haasan, sukanya, manisha koirala, urmila matondkar"
sagara sangamam,"musical, romance, drama",k. viswanath,"kamal haasan, jaya prada, sarath babu, sailaja s.p."
sadma,romance,balu mahendra,"kamal haasan, sridevi, gulshan grover, silk smitha"
guna,"drama, romance",santhana bharathi,"kamal haasan, roshini, rekha, varalakshmi s."
kuruthipunal,"action, drama, thriller",p.c. sreeram,"kamal haasan, arjun sarja, nassar, gautami"
michael madana kama rajan,"comedy, musical",singeetam srinivasa rao,"kamal haasan, kushboo, urvashi, roobini"
vishwaroopam,"action, thriller",kamal haasan,"pooja kumar, miles anderson, kamal haasan, rahul bose"
virumandi,"action, drama, thriller",kamal haasan,"kamal haasan, abhirami, pasupathy, napolean"
pathinaru vayathinile,"drama, romance",bharathiraja,"kamal haasan, sridevi, rajinikanth, gandhimathi"
